id,title,price,release_date,quantity,description,key_search
556,ONE PIECE: MONKEY D. LUFFY PAST BLUE (VER.YELLOW),"3,720,000",2020,5,MegaHouse Monkey D. Luffy 7/2017 ONE PIECE action-figure,MegaHouse Monkey D. Luffy 7/2017 ONE PIECE action-figure
557,FIGMA YUDACHI KAI-II - KANTAI COLLECTION -KAN COLLE,"2,150,000",2020,5,Yudachi Kantai Collection Max Factory Kan Colle 3/2018 figma action-figure,Yudachi Kantai Collection Max Factory Kan Colle 3/2018 figma action-figure
558,FIGMA ARCHER/ALTRIA PENDRAGON,"1,780,000",2020,5,Figma Max Factory Fate/Grand Order 7/2017 Archer/Altria Pendragon action-figure,Figma Max Factory Fate/Grand Order 7/2017 Archer/Altria Pendragon action-figure
559,CU-POCHE RAM - RE:ZERO -STARTING LIFE IN ANOTHER WORLD,"1,580,000",2020,5,Re:ZERO -Starting Life in Another World Kotobukiya Ram Cu-poche 1/2018 action-figure,ReZERO -Starting Life in Another World Kotobukiya Ram Cu-poche 1/2018 action-figure
560,FIGMA JOKER - PERSONA 5,"4,300,000",2020,5,figma Max Factory 1/2018 Persona 5 Joker action-figure,figma Max Factory 1/2018 Persona 5 Joker action-figure
561,FIGMA SERVAL - KEMONO FRIENDS,"1,880,000",2020,5,Max Factory Kemono Friends 12/2017 Serval figma action-figure,Max Factory Kemono Friends 12/2017 Serval figma action-figure
562,PARFOM - REBUILD OF EVANGELION: REI AYANAMI POSABLE FIGURE,"1,680,000",2020,5,Phat Company Rebuild of Evangelion 3/2018 Parfom Rei Ayanami action-figure,Phat Company Rebuild of Evangelion 3/2018 Parfom Rei Ayanami action-figure
563,FIGMA - KANTAI COLLECTION -KAN COLLE-: TOKITSUKAZE,"1,820,000",2020,5,Kan Colle Max Factory Tokitsukaze figma Kantai Collection 12/2017 action-figure,Kan Colle Max Factory Tokitsukaze figma Kantai Collection 12/2017 action-figure
564,FIGMA - THE TABLE MUSEUM: OTANI ONIJI III AS YAKKO EDOBEI,"1,700,000",2020,5,1/2018 Otani Oniji III as Yakko Edobei The Table Museum FREEing figma action-figure,1/2018 Otani Oniji III as Yakko Edobei The Table Museum FREEing figma action-figure
565,VOCALOID - HATSUNE MIKU - FIGMA #EX-016 - SNOW,"1,800,000",2020,5,Vocaloid Max Factory figma Hatsune Miku Miku action-figure,Vocaloid Max Factory figma Hatsune Miku Miku action-figure
566,FIGMA - LITTLEARMORY: RIKKA SHIINA,"4,350,000",2020,5,LittleArmory Tomytec 02/2018 figma Rikka Shiina action-figure,LittleArmory Tomytec 02/2018 figma Rikka Shiina action-figure
567,FIGMA UMI RYUUZAKI - MAGIC KNIGHT RAYEARTH,"1,650,000",2020,5,11/2017 Magic Knight Rayearth Figma Umi Ryuuzaki Max Factory action-figure,11/2017 Magic Knight Rayearth Figma Umi Ryuuzaki Max Factory action-figure
568,FIGMA - HAIKYUU!!: SHOYO HINATA,"1,880,000",2020,5,Kageyama Tobio Kageyama Tobio 11/2017 Orange Rouge Shoyo Hinata Hinata Haikyuu!! figma action-figure,Kageyama Tobio Kageyama Tobio 11/2017 Orange Rouge Shoyo Hinata Hinata Haikyuu!! figma action-figure
569,FIGMA YOU WATANABE - LOVE LIVE! SUNSHINE!!,"1,620,000",2020,5,You Watanabe Love Live! Sunshine!! 11/2017 figma Max Factory action-figure,You Watanabe Love Live! Sunshine!! 11/2017 figma Max Factory action-figure
570,FIGMA RED - POKEMON,"1,700,000",2020,5,Red Good Smile Company Pokemon 12/2017 figma action-figure,Red Good Smile Company Pokemon 12/2017 figma action-figure
571,FIGMA - OVERWATCH: TRACER,"3,520,000",2020,5,Tracer Overwatch 12/2017 Good Smile Company action-figure,Tracer Overwatch 12/2017 Good Smile Company action-figure
572,VOCALOID - HATSUNE MIKU - FIGMA #EX-003 - LIVE STAGE VER. (MAX FACTORY),"1,500,000",2020,5,Max Factory Miku Hatsune Miku Vocaloid action-figure,Max Factory Miku Hatsune Miku Vocaloid action-figure
573,FIGFIX NOZOMI TOJO CHEERLEADER VER. - LOVE LIVE! SCHOOL IDOL FESTIVAL,"1,520,000",2020,5,Love Live! School Idol Festival 11/2017 Nozomi Tojo figFIX action-figure,Love Live! School Idol Festival 11/2017 Nozomi Tojo figFIX action-figure
574,FIGFIX MAKI NISHIKINO CHEERLEADER VER. - LOVE LIVE! SCHOOL IDOL FESTIVAL,"1,520,000",2020,5,Cheerleader Love Live! School Idol Festival Maki Nishikino figFIX action-figure,Cheerleader Love Live! School Idol Festival Maki Nishikino figFIX action-figure
575,FIGMA - SWORD ART ONLINE THE MOVIE: ORDINAL SCALE: KIRITO O.S VER.,"3,380,000",2020,5,11/2017 Kirito Sword Art Online MAX Factory action-figure,11/2017 Kirito Sword Art Online MAX Factory action-figure
576,FIGMA DEADPOOL DX VER.,"2,620,000",2020,5,Figma Deadpool Good Smile Company 11/2017 action-figure,Figma Deadpool Good Smile Company 11/2017 action-figure
577,FIGMA - DEADPOOL,"1,850,000",2020,5,Deadpool 11/2017 figma Good Smile Company action-figure,Deadpool 11/2017 figma Good Smile Company action-figure
578,PLAY ARTS KAI - FINAL FANTASY VII REMAKE NO.1 CLOUD STRIFE,"7,300,000",2020,5,Play Arts Kai Final Fantasy VII Square Enix 4/2017 Cloud Strife action-figure,Play Arts Kai Final Fantasy VII Square Enix 4/2017 Cloud Strife action-figure
579,STYLET - FRAME ARMS GIRL,"1,950,000",2020,5,Kotobukiya 4/2017 Stylet Frame Arms Girl action-figure,Kotobukiya 4/2017 Stylet Frame Arms Girl action-figure
