id,title,price,release_date,quantity,description,key_search,idPublisher
1299,"IKESAKI MISA'S ORIGINAL CHARACTER ""JEAN-KUN"" 1/8 COMPLETE FIGURE",5720000,11/2020,5," Giá cập nhật tháng 8/2020 : 5.720.000đ, Ikesaki Misa's Original Character ""Jean-kun"" 1/8 Complete Figure, Nhân vật : Jean-kun, Series :  Original Character, Tỷ lệ : 1/8 , Hãng sản xuất : Insight, Kích thước : 20.6cm , Phát hành : cuối tháng 11/2020 , 1/8 Insight Ikesaki Misa's Jean-kun Original Character ","  8/2020  5.720.000d, Ikesaki Misa's Original Character ""Jean-kun"" 1/8 Complete Figure,   Jean-kun,    Original Character,   1/8 ,   Insight,   20.6cm ,   cuoi thang 11/2020 , 1/8 Insight Ikesaki Misa's Jean-kun Original Character ",118
1300,TO LOVE-RU DARKNESS YUI KOTEGAWA LIMITED VER. 1/6 COMPLETE FIGURE,5250000,12/2020,5," Giá cập nhật tháng 8/2020 : 5.250.000đ, To Love-Ru Darkness Yui Kotegawa Limited ver. 1/6 Complete Figure, Nhân vật : Yui Kotegawa, Series :  To Love-Ru Darkness, Tỷ lệ : 1/6, Hãng sản xuất : Union Creative, Kích thước : 25cm , Phát hành : 12/2020 , Union Creative Tỷ lệ : 1/6 Limited ver To Love-Ru Darkness Yui Kotegawa ","  8/2020  5.250.000d, To Love-Ru Darkness Yui Kotegawa Limited ver. 1/6 Complete Figure,   Yui Kotegawa,    To Love-Ru Darkness,   1/6,   Union Creative,   25cm ,   12/2020 , Union Creative   1/6 Limited ver To Love-Ru Darkness Yui Kotegawa ",47
1301,GOD EATER SHIO 1/8 COMPLETE FIGURE,6180000,1/2021,5," Giá cập nhật tháng 8/2020 : 6.180.000đ, GOD EATER Shio 1/8 Complete Figure, Nhân vật : Shio, Series :  GOD EATER, Tỷ lệ : 1/8 , Hãng sản xuất : WING, Kích thước : 26cm , Phát hành : 1/2021 , Shio WING GOD EATER 1/8 ","  8/2020  6.180.000d, GOD EATER Shio 1/8 Complete Figure,   Shio,    GOD EATER,   1/8 ,   WING,   26cm ,   1/2021 , Shio WING GOD EATER 1/8 ",67
1302,DREAMTECH HIGH SCHOOL D X D HERO RIAS GREMORY [BIKINI STYLE] 1/7 COMPLETE FIGURE,5380000,11/2020,5," Giá cập nhật tháng 8/2020 : 5.380.000đ, DreamTech High School D x D HERO Rias Gremory [Bikini style] 1/7 Complete Figure, Nhân vật : Rias Gremory, Series : High School D x D HERO , Tỷ lệ : 1/7, Hãng sản xuất : Wave, Kích thước : 30.5cm , Phát hành : 11/2020 , 1/7 Wave DreamTech Bikini style High School D x D HERO Rias Gremory ","  8/2020  5.380.000d, DreamTech High School D x D HERO Rias Gremory [Bikini style] 1/7 Complete Figure,   Rias Gremory,   High School D x D HERO ,   1/7,   Wave,   30.5cm ,   11/2020 , 1/7 Wave DreamTech Bikini style High School D x D HERO Rias Gremory ",29
1303,MUSE DASH RIN BUNNY GIRL VER. 1/8,3520000,4/2021,5," Giá cập nhật tháng 3/2021 : 3.520.000đ, Giá cập nhật tháng 8/2020 : 3.300.000đ, Muse Dash Rin Bunny Girl Ver. 1/8 Complete Figure, Nhân vật : Rin, Series :  Muse Dash, Tỷ lệ : 1/8 , Hãng sản xuất : APEX, Kích thước : 17cm , Phát hành : 4/2021 , 1/8 Bunny Girl APEX Rin Muse Dash ","  3/2021  3.520.000d,  8/2020  3.300.000d, Muse Dash Rin Bunny Girl Ver. 1/8 Complete Figure,   Rin,    Muse Dash,   1/8 ,   APEX,   17cm ,   4/2021 , 1/8 Bunny Girl APEX Rin Muse Dash ",12
1304,ARTFX J YU-GI-OH! DUEL MONSTERS SETO KAIBA 1/7 COMPLETE FIGURE,2880000,1/2021,5," Giá cập nhật tháng 8/2020 : 2.880.000đ, ARTFX J Yu-Gi-Oh! Duel Monsters Seto Kaiba 1/7 Complete Figure, Nhân vật : Seto Kaiba, Series :  Yu-Gi-Oh!, Tỷ lệ : 1/7, Hãng sản xuất : Kotobukiya, Kích thước : 27.5cm , Phát hành : 1/2021 , Yu-Gi-Oh! Duel Monsters Kotobukiya Yu-Gi-Oh! ARTFX J 1/7 Seto Kaiba ","  8/2020  2.880.000d, ARTFX J Yu-Gi-Oh! Duel Monsters Seto Kaiba 1/7 Complete Figure,   Seto Kaiba,    Yu-Gi-Oh!,   1/7,   Kotobukiya,   27.5cm ,   1/2021 , Yu-Gi-Oh! Duel Monsters Kotobukiya Yu-Gi-Oh! ARTFX J 1/7 Seto Kaiba ",9
1305,ARTFX ARTIST SERIES STAR WARS: A NEW HOPE TUSKEN RAIDER -BARBARIC DESERT TRIBE- 1/7 EASY ASSEMBLY KIT,6700000,1/2021,5," Giá cập nhật tháng 8/2020 : 6.700.000đ, ARTFX Artist Series Star Wars: A New Hope Tusken Raider -Barbaric Desert Tribe- 1/7 Easy Assembly Kit, Nhân vật : Tusken Raider, Series :  Star Wars, Tỷ lệ : 1/7, Hãng sản xuất : Kotobukiya, Kích thước : 33.5cm , Phát hành : 1/2021 , Barbaric Desert Tribe Tusken Raider Star Wars Star Wars: A New Hope Tusken Raider Kotobukiya 1/7 Easy Assembly Kit ARTFX Artist ","  8/2020  6.700.000d, ARTFX Artist  Star Wars A New Hope Tusken Raider -Barbaric Desert Tribe- 1/7 Easy Assembly Kit,   Tusken Raider,    Star Wars,   1/7,   Kotobukiya,   33.5cm ,   1/2021 , Barbaric Desert Tribe Tusken Raider Star Wars Star Wars A New Hope Tusken Raider Kotobukiya 1/7 Easy Assembly Kit ARTFX Artist ",9
1306,SWORD ART ONLINE YUUKI 1/7 COMPLETE FIGURE,4980000,8/2021,5," Giá cập nhật tháng 8/2020 : 4.980.000đ, Sword Art Online Yuuki 1/7 Complete Figure, Nhân vật :  Yuuki Konno(Yuuki), Series :  Sword Art Online Alicization , Tỷ lệ : 1/7, Hãng sản xuất : Alter, Kích thước : 23cm , Phát hành : 8/2021 , Yuuki Konno Alter Sword Art Online Yuuki 1/7 ","  8/2020  4.980.000d, Sword Art Online Yuuki 1/7 Complete Figure,    Yuuki Konno(Yuuki),    Sword Art Online Alicization ,   1/7,   Alter,   23cm ,   8/2021 , Yuuki Konno Alter Sword Art Online Yuuki 1/7 ",56
1307,KENGATOKI MITSUKUNI TOKUGAWA 1/8 COMPLETE FIGURE,4100000,12/2020,5," Giá cập nhật tháng 8/2020 : 4.100.000đ, Kengatoki Mitsukuni Tokugawa 1/8 Complete Figure, Nhân vật : Mitsukuni Tokugawa (temp), Series :  Kengatoki (temp), Tỷ lệ : 1/8 , Hãng sản xuất : Emontoys, Kích thước : 24cm , Phát hành :  cuối tháng 12/2020 , Emontoys Mitsukuni Tokugawa Kengatoki 1/8 ","  8/2020  4.100.000d, Kengatoki Mitsukuni Tokugawa 1/8 Complete Figure,   Mitsukuni Tokugawa (temp),    Kengatoki (temp),   1/8 ,   Emontoys,   24cm ,    cuoi thang 12/2020 , Emontoys Mitsukuni Tokugawa Kengatoki 1/8 ",44
1308,TO LOVE-RU DARKNESS YUI KOTEGAWA 1/6 COMPLETE FIGURE,4900000,12/2020,5," Giá cập nhật tháng 8/2020 : 4.900.000đ, To Love-Ru Darkness Yui Kotegawa 1/6 Complete Figure, Nhân vật : Yui Kotegawa, Series :  To Love-Ru Darkness, Tỷ lệ : 1/6, Hãng sản xuất : Union Creative, Kích thước : 25cm , Phát hành : 12/2020 , 1/6 To Love-Ru Darkness Union Creative Yui Kotegawa ","  8/2020  4.900.000d, To Love-Ru Darkness Yui Kotegawa 1/6 Complete Figure,   Yui Kotegawa,    To Love-Ru Darkness,   1/6,   Union Creative,   25cm ,   12/2020 , 1/6 To Love-Ru Darkness Union Creative Yui Kotegawa ",47
