id,publisher
837,Proovy
838,Alphamax
839,Max Factory
840,Kotobukiya
841,Union Creative
842,Good Smile Company
843,FREEing
844,Good Smile Company
845,Intelligent System
846,ques Q
847,Vertex
848,Kotobukiya
849,Phat Company
850,Daiki kogyo
851,Good Smile Company
852,Good Smile Company
853,Wave
854,Good Smile Company
855,Good Smile Company
856,Good Smile Company
857,Good Smile Company
858,WING
859,MIMEYOI
860,MIMEYOI
861,AniGift
862,MegaHouse
863,A+
864,Alphamax
865,Kadokawa
866,Kadokawa
867,FREEing
868,Q-six
869,Hobby Max Japan
870,Hobby Max Japan
871,Kotobukiya
872,FREEing
873,Our Treasure
874,"Zero-G Act , Revolve"
875,GENESIS
876,Good Smile Company
877,Good Smile Company
878,Good Smile Company
879,Skytube
880,"AmiAmi, Ohmi"
881,FREEing
882,Emontoys
883,Bellfine
884,Native
885,"BINDing, Native"
886,furyu
887,FREEing
888,Good Smile Company
889,Kotobukiya
890,Union Creative
891,Bishop's Rondo
892,AmiAmi x AMAKUNI
893,FREEing
894,FREEing
895,FREEing
896,Orca Toys
897,"Aniplex, Max Factory"
898,Bandai Spirits
899,Good Smile Company
900,Good Smile Company
901,Kadokawa
902,Kadokawa
903,"FunnyKnights , Aoshima"
904,Daiki kogyo
905,Kotobukiya
906,FREEing
907,Good Smile Company
908,furyu
909,Kaiyodo
910,Kaiyodo
911,Kaiyodo
912,Aniplex
913,"Pink , Charm"
914,"PM Office A , Plum"
915,Kotobukiya
916,Alter
917,Broccoli
918,Bellfine
919,Bellfine
920,Union Creative
921,eighteen
922,Union Creative
923,Good Smile Company
924,Good Smile Company
925,Phat Company
926,Kotobukiya
927,FREEing
928,Max Factory
929,Daiki kogyo
930,Union Creative
931,Kotobukiya
932,FREEing
933,FREEing
934,Myethos
935,Vertex
936,AmiAmi x AMAKUNI
937,AmiAmi x AMAKUNI
938,AmiAmi x AMAKUNI
939,Good Smile Company
940,Kadokawa
941,FREEing
942,WING
943,NetEase Games
944,NetEase Games
945,NetEase Games
946,NetEase Games
947,NetEase Games
948,NetEase Games
949,Snail Shell Studio
950,ques Q
951,eStream
952,eStream
953,MIMEYOI
954,MIMEYOI
955,Alter
956,eStream
957,Phat Company
958,Phat Company
959,"MAPPA , eStream"
960,APEX
961,APEX
962,furyu
963,plusone
964,Myethos
965,Nekoyome
966,furyu
967,furyu
968,furyu
969,ques Q
970,Skytube
971,Kotobukiya
972,KADOKAWA
973,"Kadokawa, Chara-ani"
974,MegaHouse
975,Bandai Spirits
976,Bandai Spirits
977,Good Smile Company
978,Good Smile Company
979,Dreamtech
980,Myethos
981,NetEase Games
982,Kadokawa
983,Kadokawa
984,Good Smile Company
985,Good Smile Company
986,Union Creative
987,Kotobukiya
988,Kotobukiya
989,FREEing
990,Good Smile Company
991,Good Smile Company
992,FREEing
993,Union Creative
994,Phat Company
995,Daiki kogyo
996,Wave
997,MiHoYo
998,Hobby Max Japan
999,Hobby Max Japan
1000,Union Crative
1001,Good Smile Company
1002,Good Smile Arts Shanghai
1003,Kotobukiya
1004,Kotobukiya
1005,Skytube
1006,Union Creative
1007,"BINDing , Native"
1008,Good Smile Company
1009,Good Smile Company
1010,Good Smile Company
1011,Wonderful Works
1012,Good Smile Company
1013,FREEing
1014,Alter
1015,Alter
1016,APEX
1017,Good Smile Arts Shanghai
1018,Kotobukiya
1019,"FunnyKnights, Aoshima"
1020,Bellfine
1021,Bellfine
1022,MiHoYo
1023,Good Smile Company
1024,furyu
1025,Kadokawa
1026,FREEing
1027,NetEase Games
1028,Japan
1029,MegaHouse
1030,AmiAmi
1031,With Fans!
1032,Aniplex
1033,Amakuni
1034,Amakuni
1035,furyu
1036,knead
1037,Kotobukiya
1038,AniGift
1039,Good Smile Company
1040,Good Smile Company
1041,Medicos Entertainment
1042,FREEing
1043,Kotobukiya
1044,Good Smile Company
1045,Phat Company
1046,Alter
1047,AniGift
1048,Hot Toys
1049,Daiki kogyo
1050,NetEase Games
1051,NetEase Games
1052,Good Smile Company
1053,Licorne
1054,Bellfine
1055,Di molto bene
1056,Good Smile Company
1057,furyu
1058,Kotobukiya
1059,Kotobukiya
1060,Good Smile Company
1061,Phat Company
1062,WING
1063,FREEing
1064,furyu
1065,Takara Tomy
1066,Takara Tomy
1067,Kotobukiya
1068,Max Factory
1069,Kotobukiya
1070,FREEing
1071,Good Smile Company
1072,Intelligent System
1073,Union Creative
1074,Good Smile Arts Shanghai
1075,Good Smile Arts Shanghai
1076,ques Q
1077,Our Treasure
1078,Wonderful Works
1079,Alter
1080,FREEing
1081,Kotobukiya
1082,MegaHouse
1083,Bandai Spirits
1084,Bandai Spirits
1085,FREEing
1086,MegaHouse
1087,Alter
1088,furyu
1089,Daiki kogyo
1090,Union Creative
1091,Kotobukiya
1092,Myethos
1093,Phat Company
1094,FREEing
1095,Max Factory
1096,Party Look
1097,Amakuni
1098,Amakuni
1099,Union Creative
1100,"AmiAmi , Oh-ami"
1101,Vertex
1102,Medicos Entertainment
1103,FREEing
1104,Alter
1105,Hot Toys
1106,Q-six
1107,Q-six
1108,APEX
1109,APEX
1110,Emontoys
1111,WING
1112,FREEing
1113,Good Smile Company
1114,Sentinel
1115,Broccoli
1116,FREEing
1117,Kadokawa
1118,Takara Tomy
1119,Takara Tomy
1120,Union Creative
1121,"Milestone , Queen Ted"
1122,eStream
1123,eStream
1124,eStream
1125,furyu
1126,eStream
1127,NetEase Games
1128,amie x ALTAiR
1129,Bellfine
1130,Bellfine
1131,Bellfine
1132,Kotobukiya
1133,"Kadokawa, Chara-ani"
1134,Union Creative
1135,Good Smile Arts Shanghai
1136,AmiAmi x AMAKUNI
1137,"Mabell , Lechery"
1138,MegaHouse
1139,MegaHouse
1140,MegaHouse
1141,WING
1142,Bandai Namco Arts
1143,Wave
1144,"Kadokawa, Chara-ani"
1145,WING
1146,Good Smile Company
1147,Hobby Max Japan
1148,Hobby Max Japan
1149,FREEing
1150,Daiki kogyo
1151,Kotobukiya
1152,Kotobukiya
1153,Bishop's Rondo
1154,FREEing
1155,FREEing
1156,Licorne
1157,Vertex
1158,Vertex
1159,Amakuni
1160,Amakuni
1161,furyu
1162,Kadokawa
1163,Union Creative
1164,ques Q
1165,Japan
1166,Phat Company
1167,Native
1168,Hobby Max
1169,Kotobukiya
1170,Good Smile Company
1171,Kotobukiya
1172,FREEing
1173,"Plum , PM Office A "
1174,"Plum , PM Office A "
1175,Union Creative
1176,Union Creative
1177,Kotobukiya
1178,Miyuki
1179,Kadokawa
1180,Hakoiri Musume
1181,Hakoiri Musume
1182,ques Q
1183,OrchidSeed
1184,Kadokawa
1185,Good Smile Company
1186,Kadokawa
1187,MiHoYo
1188,Union Creative
1189,AniGift
1190,Kotobukiya
1191,Kotobukiya
1192,Good Smile Company
1193,Good Smile Company
1194,WING
1195,Union Creative
1196,Aniplex
1197,Good Smile Company
1198,Good Smile Company
1199,Phat Company
1200,Max Factory
1201,Good Smile Company
1202,Wave
1203,MegaHouse
1204,MegaHouse
1205,Bandai Spirits
1206,WING
1207,Bellfine
1208,furyu
1209,Kotobukiya
1210,Good Smile Company
1211,Broccoli
1212,"WING , Aniplex"
1213,"WING , Aniplex"
1214,"WING , Aniplex"
1215,Amakuni
1216,Good Smile Company
1217,Good Smile Company
1218,Wave
1219,furyu
1220,furyu
1221,furyu
1222,furyu
1223,"Hobby Max , Hobby Max Japan"
1224,Kotobukiya
1225,Myethos
1226,Myethos
1227,FREEing
1228,Phat Company
1229,Square Enix
1230,Alter
1231,furyu
1232,furyu
1233,Japan
1234,Kadokawa
1235,Kadokawa
1236,ques Q
1237,Flare
1238,Flare
1239,"Kadokawa, Chara-ani"
1240,Kotobukiya
1241,Kotobukiya
1242,Kotobukiya
1243,Good Smile Company
1244,FREEing
1245,Kadokawa
1246,Kadokawa
1247,WANDERER
1248,Kotobukiya
1249,Kadokawa
1250,Broccoli
1251,"Aniplex  , Wing "
1252,Skytube
1253,Good Smile Company
1254,Daiki kogyo
1255,MIMEYOI
1256,Wave
1257,Good Smile Company
1258,Good Smile Company
1259,FREEing
1260,AmiAmi
1261,"BINDing , Native "
1262,Bishop's Rondo
1263,Bandai Spirits
1264,Myethos
1265,Japan
1266,Alphamax
1267,MegaHouse
1268,Phat Company
1269,Good Smile Company
1270,Azone International
1271,furyu
1272,Kadokawa
1273,Azone International
1274,"FunnyKnights, Aoshima"
1275,Phat Company
1276,Hobby Stock
1277,Alter
1278,"Mabell , Lechery"
1279,"Kaitendo , Mabell"
1280,"Kaitendo , Mabell"
1281,Kotobukiya
1282,Kotobukiya
1283,Kotobukiya
1284,Hakoiri Musume
1285,Bellfine
1286,Skytube
1287,Broccoli
1288,Fengrong
1289,Fengrong
1290,Emontoys
1291,FREEing
1292,WING
1293,plusone
1294,Takara Tomy
1295,Kadokawa
1296,Kadokawa
1297,A+
1298,Aniplex
1299,Insight
1300,Union Creative
1301,WING
1302,Wave
1303,APEX
1304,Kotobukiya
1305,Kotobukiya
1306,Alter
1307,Emontoys
1308,Union Creative
1309,Daiki kogyo
1310,Wonderful Works
1311,eighteen
1312,eighteen
1313,furyu
1314,MegaHouse
1315,Myethos
1316,GOODSMILE RACING & TYPE-MOON RACING
1317,Good Smile Company
1318,Phat Company
1319,Kotobukiya
1320,Kadokawa
1321,Kadokawa
1322,Good Smile Company
1323,Our Treasure
1324,Kotobukiya
1325,Union Creative
1326,FREEing
1327, WING
1328,Reverse Studio
1329,Kadokawa
1330,Kadokawa
1331,1000toys
1332,FREEing
1333,Good Smile Company
1334,Broccoli
1335,NetEase Games
1336,Kadokawa
1337,Hobby Max Japan
