id,title,price,release_date,quantity,description,key_search
3227,ONMYOJI HONKAKU GENSOU UTSUWA NO MICHI SHIKIGAMI DEFORMED FIGURE 7PACK BOX,4000000,8/2020,5," Giá cập nhật tháng 6/2020 : 4.000.000đ, Onmyoji Honkaku Gensou Utsuwa no Michi Shikigami Deformed Figure 7Pack BOX, Nhân vật : Ootengu, Ibaraki Douji , Kachoufuugetsu , Inu Kami , Umibouzu , Niguchi Onna , Sakura no Sei, Series :  Onmyoji, Hãng sản xuất : NetEase Games, Kích thước : 6.4cm , Phát hành : 8/2020 , 7Pack BOX Onmyoji Niguchi Onna Inu Kami Ibaraki Douji Sakura no Sei Ootengu Umibouzu Kachoufuugetsu ","  6/2020  4.000.000d, Onmyoji Honkaku Gensou Utsuwa no Michi Shikigami Deformed Figure 7Pack BOX,   Ootengu, Ibaraki Douji , Kachoufuugetsu , Inu Kami , Umibouzu , Niguchi Onna , Sakura no Sei,    Onmyoji,   NetEase Games,   6.4cm ,   8/2020 , 7Pack BOX Onmyoji Niguchi Onna Inu Kami Ibaraki Douji Sakura no Sei Ootengu Umibouzu Kachoufuugetsu "
3228,NENDOROID NARUTO SHIPPUDEN SASORI,1980000,12/2020,5," Giá cập nhật tháng 6/2020 : 1.980.000đ, Nendoroid NARUTO Shippuden Sasori, Nhân vật : Sasori, Series :  NARUTO Shippuden, Hãng sản xuất : Good Smile Company, Kích thước : 10cm , Phát hành : 12/2020 , NARUTO Nendoroid Good Smile Company NARUTO Shippuden Sasori ","  6/2020  1.980.000d, Nendoroid NARUTO Shippuden Sasori,   Sasori,    NARUTO Shippuden,   Good Smile Company,   10cm ,   12/2020 , NARUTO Nendoroid Good Smile Company NARUTO Shippuden Sasori "
3229,NENDOROID OKAMI AMATERASU,1620000,11/2020,5," Giá cập nhật tháng 6/2020 : 1.620.000đ, Nendoroid Okami Amaterasu, Nhân vật : Amaterasu, Series :  Okami, Hãng sản xuất : Max Factory, Kích thước : 10cm , Phát hành : 11/2020 , Okami Max Factory Amaterasu Nendoroid ","  6/2020  1.620.000d, Nendoroid Okami Amaterasu,   Amaterasu,    Okami,   Max Factory,   10cm ,   11/2020 , Okami Max Factory Amaterasu Nendoroid "
3230,NENDOROID OKAMI AMATERASU DX VER,2200000,11/2020,5," Giá cập nhật tháng 6/2020 : 2.200.000đ, Nendoroid Okami Amaterasu DX Ver, Nhân vật : Amaterasu , Series :  Okami, Hãng sản xuất : Max Factory, Kích thước : 10cm , Phát hành : 11/2020 , DX Ver Amaterasu Nendoroid Max Factory Okami ","  6/2020  2.200.000d, Nendoroid Okami Amaterasu DX Ver,   Amaterasu ,    Okami,   Max Factory,   10cm ,   11/2020 , DX Ver Amaterasu Nendoroid Max Factory Okami "
3231,NENDOROID PROJECT SAKURA WARS SAKURA AMAMIYA,1550000,12/2020,5," Giá cập nhật tháng 6/2020 : 1.550.000đ, Nendoroid Project Sakura Wars Sakura Amamiya, Nhân vật : Sakura Amamiya, Series :  Sakura Wars, Hãng sản xuất : Good Smile Company, Kích thước : 10cm , Phát hành : 12/2020 , Good Smile Company Nendoroid Sakura Wars Sakura Amamiya ","  6/2020  1.550.000d, Nendoroid Project Sakura Wars Sakura Amamiya,   Sakura Amamiya,    Sakura Wars,   Good Smile Company,   10cm ,   12/2020 , Good Smile Company Nendoroid Sakura Wars Sakura Amamiya "
3232,NENDOROID JIBAKU SHOUNEN HANAKO-KUN HANAKO-KUN,5250000,11/2020,5," Giá cập nhật tháng 5/2021 : 5.250.000đ, Giá cập nhật tháng 11/2020 : 2.400.000đ, Giá cập nhật tháng 6/2020 : 1.580.000đ, Nendoroid Jibaku Shounen Hanako-kun Hanako-kun, Nhân vật : Hanako-kun(Amane Yugi), Series :  Jibaku Shounen Hanako-kun (Toilet-bound Hanako-kun), Hãng sản xuất : Good Smile Company, Kích thước : 10cm , Phát hành : 11/2020 , Good Smile Company Toilet-bound Hanako-kun Jibaku Shounen Hanako-kun Nendoroid Amane Yugi Hanako-kun ","  5/2021  5.250.000d,  11/2020  2.400.000d,  6/2020  1.580.000d, Nendoroid Jibaku Shounen Hanako-kun Hanako-kun,   Hanako-kun(Amane Yugi),    Jibaku Shounen Hanako-kun (Toilet-bound Hanako-kun),   Good Smile Company,   10cm ,   11/2020 , Good Smile Company Toilet-bound Hanako-kun Jibaku Shounen Hanako-kun Nendoroid Amane Yugi Hanako-kun "
3233,NENDOROID YURU CAMP ENA SAITO,1880000,11/2020,5," Giá cập nhật tháng 6/2020 : 1.880.000đ, Nendoroid Yuru Camp Ena Saito, Nhân vật : Ena Saitou , Series :  Yuru Camp (Laid-Back Camp) , Hãng sản xuất : Good Smile Company, Kích thước : 10cm , Phát hành : 11/2020 , Nendoroid Yuru Camp Laid-Back Camp Ena Saitou Good Smile Company ","  6/2020  1.880.000d, Nendoroid Yuru Camp Ena Saito,   Ena Saitou ,    Yuru Camp (Laid-Back Camp) ,   Good Smile Company,   10cm ,   11/2020 , Nendoroid Yuru Camp Laid-Back Camp Ena Saitou Good Smile Company "
3234,NENDOROID DEMON SLAYER: KIMETSU NO YAIBA INOSUKE HASHIBIRA,1680000,11/2020,5," Giá cập nhật tháng 6/2020 : 1.680.000đ, Nendoroid Demon Slayer: Kimetsu no Yaiba Inosuke Hashibira, Nhân vật : Inosuke Hashibira, Series :  Demon Slayer: Kimetsu no Yaiba, Hãng sản xuất : Good Smile Company, Kích thước : 10cm , Phát hành : 11/2020 , Kimetsu no Yaiba Inosuke Hashibira Good Smile Company Demon Slayer Nendoroid ","  6/2020  1.680.000d, Nendoroid Demon Slayer Kimetsu no Yaiba Inosuke Hashibira,   Inosuke Hashibira,    Demon Slayer Kimetsu no Yaiba,   Good Smile Company,   10cm ,   11/2020 , Kimetsu no Yaiba Inosuke Hashibira Good Smile Company Demon Slayer Nendoroid "
3235,NENDOROID BANG DREAM! GIRLS BAND PARTY! HINA HIKAWA STAGE OUTFIT VER.,1580000,12/2020,5," Giá cập nhật tháng 6/2020 : 1.580.000đ, Nendoroid BanG Dream! Girls Band Party! Hina Hikawa Stage Outfit Ver., Nhân vật : Hina Hikawa, Series :  BanG Dream! Girls Band Party! , Hãng sản xuất : Good Smile Company, Kích thước : 10cm , Phát hành : 12/2020 , BanG Dream! Girls Band Party! Stage Outfit Good Smile Company Nendoroid Hina Hikawa ","  6/2020  1.580.000d, Nendoroid BanG Dream! Girls Band Party! Hina Hikawa Stage Outfit Ver.,   Hina Hikawa,    BanG Dream! Girls Band Party! ,   Good Smile Company,   10cm ,   12/2020 , BanG Dream! Girls Band Party! Stage Outfit Good Smile Company Nendoroid Hina Hikawa "
3236,"NENDOROID TV ANIME ""JOJO'S BIZARRE ADVENTURE GOLDEN WIND"" GUIDO MISTA",1680000,11/2020,5," Giá cập nhật tháng 6/2020 : 1.600.000đ, Nendoroid TV Anime ""JoJo's Bizarre Adventure Golden Wind"" Guido Mista, Nhân vật : Guido Mista, Series :  JoJo's Bizarre Adventure Golden Wind, Hãng sản xuất : Medicos Entertainment, Kích thước : 10cm , Phát hành : 11/2020 , Medicos Entertainment JoJo's Bizarre Adventure Golden Wind TV Anime Guido Mista Nendoroid ","  6/2020  1.600.000d, Nendoroid TV Anime ""JoJo's Bizarre Adventure Golden Wind"" Guido Mista,   Guido Mista,    JoJo's Bizarre Adventure Golden Wind,   Medicos Entertainment,   10cm ,   11/2020 , Medicos Entertainment JoJo's Bizarre Adventure Golden Wind TV Anime Guido Mista Nendoroid "
