id,title,price,release_date,quantity,description,key_search
603,FIGMA - KANTAI COLLECTION -KAN COLLE- FUBUKI,1700000,2020,5,figma Fubuki KanColle MAX Factory 10/2017 Kantai Collection action-figure,figma Fubuki KanColle MAX Factory 10/2017 Kantai Collection action-figure
604,FIGMA LEAFA,2500000,2020,5,Leafa Max Factory Sword Art Online I 2/2017 Figma action-figure,Leafa Max Factory Sword Art Online I 2/2017 Figma action-figure
605,FIGMA - ULTIMATE! NIPAKO-CHAN: NIPAKO,1820000,2020,5,Tomytec 11/2017 Nipako Ultimate! Nipako-chan action-figure,Tomytec 11/2017 Nipako Ultimate! Nipako-chan action-figure
606,FIGMA CONAN - CONAN,1600000,2020,5,Figma Conan Conan 2/2017 Max Factory Future Boy action-figure,Figma Conan Conan 2/2017 Max Factory Future Boy action-figure
607,FIGMA YOTAROH,1100000,2020,5,Movie Arpeggio of Blue Steel: Ars Nova Cadenza Figma Yotaroh Max Factory 1/2017 action-figure,Movie Arpeggio of Blue Steel Ars Nova Cadenza Figma Yotaroh Max Factory 1/2017 action-figure
608,FIGMA GURLUKOVICH SOLIDER,2080000,2020,5,Max Factory Gurlukovich Solider Figma Metal Gear Solid 2 Sons of Liberty 8/2016 action-figure,Max Factory Gurlukovich Solider Figma Metal Gear Solid 2 Sons of Liberty 8/2016 action-figure
609,FIGMA HARUNA,1780000,2020,5,Movie Arpeggio of Blue Steel: Ars Nova Cadenza Haruna 1/2017 Figma Max Factory action-figure,Movie Arpeggio of Blue Steel Ars Nova Cadenza Haruna 1/2017 Figma Max Factory action-figure
610,FIGMA SAITAMA,1920000,2020,5,Max Factory Figma One-Punch Man Saitama 1/2017 action-figure,Max Factory Figma One-Punch Man Saitama 1/2017 action-figure
611,FIGMA KANAME MADOKA,1200000,2020,5,Max Factory 9/2011 Kaname Madoka Figma Mahou Shoujo Madoka Magica action-figure,Max Factory 9/2011 Kaname Madoka Figma Mahou Shoujo Madoka Magica action-figure
612,FIGMA HIKARU SHIDOU,1780000,2020,5,Hikaru Shidou Max Factory Magic Knight Rayearth Figma 1/2017 action-figure,Hikaru Shidou Max Factory Magic Knight Rayearth Figma 1/2017 action-figure
613,FIGMA ELSA - FROZEN,2750000,2020,5,Elsa Good Smile Company Frozen 12/2016 Figma action-figure,Elsa Good Smile Company Frozen 12/2016 Figma action-figure
614,FIGMA - RE:ZERO -STARTING LIFE IN ANOTHER WORLD- RAM,2100000,2020,5,Ram MAX Factory 09/2017 Re: ZERO action-figure,Ram MAX Factory 09/2017 Re ZERO action-figure
615,FIGMA - RE:ZERO -STARTING LIFE IN ANOTHER WORLD- REM,2700000,2020,5,Re: ZERO Rem 09/2017 MAX Factory action-figure,Re ZERO Rem 09/2017 MAX Factory action-figure
616,CU-POCHE - FRAME ARMS GIRL: FA GIRL MATERIA WHITE POSABLE FIGURE,1380000,2020,5,08/2017 Frame Arms Girl Kotobukiya Materia action-figure,08/2017 Frame Arms Girl Kotobukiya Materia action-figure
617,DRAGON BALL Z - SON GOKU SSJ - S.H.FIGUARTS - SUPER WARRIOR AWAKENING VER.,3300000,2020,5,S.H.Figuarts Z Dragon Ball Super Warrior Awakening Ver. Bandai Son Goku 10/2016 SSJ action-figure,S.H.Figuarts Z Dragon Ball Super Warrior Awakening Ver. Bandai Son Goku 10/2016 SSJ action-figure
618,FIGMA SUZUMIYA HARUHI SUMMER - SCHOOL UNIFORM VER.,920000,2020,5,summer 4/2009 School Suzumiya Haruhi Figma Yuuutsu max factory Uniform action-figure,summer 4/2009 School Suzumiya Haruhi Figma Yuuutsu max factory Uniform action-figure
619,FIGMA SUZUMIYA HARUHI SCHOOL UNIFORM VER.,880000,2020,5,Uniform Figma Yuuutsu max factory Suzumiya Haruhi School action-figure,Uniform Figma Yuuutsu max factory Suzumiya Haruhi School action-figure
620,FIGMA ANGEL STATUES,1580000,2020,5,1/2016 Angel Statues FREEing The Table Museum Figma action-figure,1/2016 Angel Statues FREEing The Table Museum Figma action-figure
621,FIGMA ATLAS - PORTAL 2,2100000,2020,5,Portal Good Smile Company 11/2017 Action Figure Atlas action-figure,Portal Good Smile Company 11/2017 Action Figure Atlas action-figure
622,AQUA - PLAY ARTS KAI - KINGDOM HEARTS,3300000,2020,5,Action Figure Aqua Play Arts Kai Kingdom Hearts 7/2017 Square Enix action-figure,Action Figure Aqua Play Arts Kai Kingdom Hearts 7/2017 Square Enix action-figure
623,FIGMA FATE/GRAND ORDER ARCHER/GILGAMESH,3000000,2020,5,Max Factory Fate/Grand Order Archer/Gilgamesh 12/2016 Figma action-figure,Max Factory Fate/Grand Order Archer/Gilgamesh 12/2016 Figma action-figure
624,FIGMA RACING MIKU 2015 TEAM UKYO CHEERING VER,2150000,2020,5,Racing Miku VOCALOID Max Factory Figma 1/2017 action-figure,Racing Miku VOCALOID Max Factory Figma 1/2017 action-figure
625,ARMOR GIRLS PROJECT - SUPER SONICO WITH SUPER BIKE ROBOT (10TH ANNIVERSARY VER.),3300000,2020,5,Robot Super Bike Robot Bike Sonico Bandai 08/2017 Super Sonico Nitroplus action-figure,Robot Super Bike Robot Bike Sonico Bandai 08/2017 Super Sonico Nitroplus action-figure
626,FIGMA YUKARI AKIYAMA SCHOOL UNIFORM VER. - GIRLS UND PANZER THE MOVIE,1450000,2020,5,9/2017 Action Figure Max Factory Girs und Panzer Yukari Akiyama Uniform action-figure,9/2017 Action Figure Max Factory Girs und Panzer Yukari Akiyama Uniform action-figure
627,FIGMA CASTER,1980000,2020,5,10/2016 Figma Max Factory Caster Fate/EXTRA action-figure,10/2016 Figma Max Factory Caster Fate/EXTRA action-figure
628,FIGMA - THE TABLE MUSEUM: VITRUVIAN MAN,2100000,2020,5,The Table Museum: Vitruvian Man FREEing Figma 12/2016 The Table Museum action-figure,The Table Museum Vitruvian Man FREEing Figma 12/2016 The Table Museum action-figure
629,FIGMA PRINZ EUGEN,2600000,2020,5,Figma Prinz Eugen Kantai Collection Max Factory 11/2016 action-figure,Figma Prinz Eugen Kantai Collection Max Factory 11/2016 action-figure
630,FIGMA NANASE HARUKA,3900000,2020,5,Hobby Stock Figma 11/2016 Nanase Haruka Free! action-figure,Hobby Stock Figma 11/2016 Nanase Haruka Free! action-figure
631,FIGMA ARCHETYPE NEXT - SHE GREY COLOR VER,4380000,2020,5,archetype next she grey 10/2016 Figma Max Factory action-figure,archetype next she grey 10/2016 Figma Max Factory action-figure
632,FIGMA IZAYA ORIHARA,1700000,2020,5,Good Smile Company Izaya Orihara Figma Durarara!! x2 11/2016 action-figure,Good Smile Company Izaya Orihara Figma Durarara!! x2 11/2016 action-figure
633,FIGMA NICO YAZAWA,2900000,2020,5,Max Factory Nico Yazawa Love Live! 10/2016 Figma action-figure,Max Factory Nico Yazawa Love Live! 10/2016 Figma action-figure
634,FIGMA HANAYO KOIZUMI,1550000,2020,5,Love Live! 9/2016 Figma Hanayo Koizumi Max Factory action-figure,Love Live! 9/2016 Figma Hanayo Koizumi Max Factory action-figure
635,FIGMA MIYO ASATO,2100000,2020,5,Takara Tomy Marketing Miyo Asato Little Armory 10/2016 Figma action-figure,Takara Tomy Marketing Miyo Asato Little Armory 10/2016 Figma action-figure
636,FIGMA KIRITO ALO VER.,4250000,2020,5,Max Factory Kirito Sword Art Online II Figma 8/2016 action-figure,Max Factory Kirito Sword Art Online II Figma 8/2016 action-figure
637,FIGFIX SAKURA KINOMOTO BATTLE COSTUME VER,1500000,2020,5,8/2016 Sakura Kinomoto Max Factory Figma Cardcaptor Sakura action-figure,8/2016 Sakura Kinomoto Max Factory Figma Cardcaptor Sakura action-figure
638,FIGMA SHIZUO HEIWAJIMA,1600000,2020,5,Durarara!! x2 Figma 9/2016 Shizuo Heiwajima Max Factory action-figure,Durarara!! x2 Figma 9/2016 Shizuo Heiwajima Max Factory action-figure
